code	description	chapter	catalog_version
J9610	Chronic respiratory failure, unspecified whether with hypoxia or hypercapnia	J	ICD-10-CM-2025
J9611	Chronic respiratory failure with hypoxia	J	ICD-10-CM-2025
J9612	Chronic respiratory failure with hypercapnia	J	ICD-10-CM-2025
J9620	Acute and chronic respiratory failure, unspecified whether with hypoxia or hypercapnia	J	ICD-10-CM-2025
J9621	Acute and chronic respiratory failure with hypoxia	J	ICD-10-CM-2025
J9622	Acute and chronic respiratory failure with hypercapnia	J	ICD-10-CM-2025
J9690	Respiratory failure, unspecified, unspecified whether with hypoxia or hypercapnia	J	ICD-10-CM-2025
J9691	Respiratory failure, unspecified with hypoxia	J	ICD-10-CM-2025
J9692	Respiratory failure, unspecified with hypercapnia	J	ICD-10-CM-2025
J9801	Acute bronchospasm	J	ICD-10-CM-2025
J9809	Other diseases of bronchus, not elsewhere classified	J	ICD-10-CM-2025
J9811	Atelectasis	J	ICD-10-CM-2025
J9819	Other pulmonary collapse	J	ICD-10-CM-2025
J982	Interstitial emphysema	J	ICD-10-CM-2025
J983	Compensatory emphysema	J	ICD-10-CM-2025
J984	Other disorders of lung	J	ICD-10-CM-2025
J9851	Mediastinitis	J	ICD-10-CM-2025
J9859	Other diseases of mediastinum, not elsewhere classified	J	ICD-10-CM-2025
J986	Disorders of diaphragm	J	ICD-10-CM-2025
J988	Other specified respiratory disorders	J	ICD-10-CM-2025
J989	Respiratory disorder, unspecified	J	ICD-10-CM-2025
J99	Respiratory disorders in diseases classified elsewhere	J	ICD-10-CM-2025
